,adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
16669,,Persistencia,abeja,Reglas,construcción,Abarcar,Señal de vida,bruja de disney,trabajable,Ángulo,reparación ,ropa,viveza,unidad,equilibrio,patriotismo,Perfeccion,redonda,"Animales, plantas y humanos",oscuro,término,Vestimenta,musica de star wars,religion,océano ,tienen antenas,Oscuridad,Mezcla sencilla de alimentos animales y vegetales,blanco,exorcismo,ganado,Perfeccion,Navega,proteccion,descanso,mala clase,Pequeño,Alegria ,Difícil de entender,Mujeres,Fantasma,Marco,Algo malvado,fibonacci,respeto,poder,Evitar algo,Pasos,Aterrador,peludos,lugares,locura,planeta,palanca,pulido,es natural,Supervivencia,destrozos,punto de partida,no frena,influencia en alguien,transcribir,nervios,arrepentirse,figuras,Subir,desierto,transparencia,Lamento,Menospreciar,Naranja chica,objetividad,Desconfianza,tiene fuerza de ley,pecas,Dios,Miedo ,conducta,europa,Teatro,antiguo,oscuridad,alegria,corazon,Aristocracia,maquina,puede ser peligroso para las personas ingresar,espacio para dejar cadaveres,lugar,,se ocupan en las guerras,se generan a partir de nebulosas,orden publico,afirmacion,estudiante,Giro,correo,espejo,Arrepentimiento,Vip,vuelve a su forma,desorden,pintura,dinero,salud,concepcion ,susto,pesado,flexibilidad,Señal de agotamiento,Falta de personalidad,poco preciso,Fiesta,realizar un papeleo,lógica,leyenda de dracula,Exceso de autoestima,aventurero,malo,enlace
16670,,Fuerza,alergia,Jerarquia,oficio,Ni lejos ni cerca,Olor de la boca,arrugas,logro,Opciones,ajuste,vestirse,héroe,manada,justicia,país,Atencion a cliente,alimentacion,"Animales, plantas y humanos",divertido ,recuerdo,Motel,alcohol,resguardo,Fuerzas Armadas,tienen casa,Rustico,Mezcla sencilla de alimentos animales y vegetales,pico largo,maldición,sur,Se usa maquinas,Es un tipo de barco,armadura,gozar,enojo,Obsequio,Buenas vibras,Difícil de explicar ,Cualidad para seducir,Dioses,Hábitat ,Halloween,tallarines,escultura,anticuado,Responsabilidad,Cambios,persona,garras,dinero,delirio,infinito,disparo,espinilla,fogata,Humanos y animales,natural,pista,lleva vuelo,autoridad,Dinero,desconocido,deplorar,llamativo,Elevar,soledad,sin estorbos,Sufrimiento,Tristeza ,Redondo,razonamiento,Mal intencionado ,decreto,cara,Iglesia,Muerte,madures,antiguo,Actuación ,incomprensión,misterio,claridad,papá,Reyes,barra,me imagino una mezcla de agua con lodo,monumento en cementerio ,tierra,,escopeta,puede poseer satélites que lo orbiten,características comunes,proposicion,pruebas,Cuerda,superintendencia,agua,Culpa,Reserva de restaurante,alambre,violencia,imitacion,trabajo,costumbre,germinacion,desesperacion,fuerte,tranquilidad,muestra de cansancio,Introvertido,bruto,Aplausos,asociado a un tema burocrático ,es una prueba de valor,que bebe sangre humana ,afecto a uno mismo,aprovecha la vida,bueno,link
16671,,Vitalidad,planta,Estrategia,que repara,Tocar,Respiración,muerte,beneficios,Puntos,remodelación,moda,valentía,luna,vida,flameando en el aire,Estilo clasico,guatita llena corazón contento,"Animales, plantas y humanos",excentrico,crimen,Desayuno,barman,misa,lider,son solitarios,Hogar ,Platillo del pueblo chileno,volar,embrujado,tierra,reparar ropa,Es lujoso,fruta,banquete,peleas,Preocupación,Buen corazon,Felicidad,Gracia alta,Seres sobrenaturales,Escenario ,Horror,rebote,obra de arte,experticie,Miedo,Fases,concepto,Audaces ,felicidad,estar excitado,cosmos,explosión ,imperfeccion,fuego,Humanos y animales,Destructor,presentimiento,imparable,poder de cambio,Influjo,astucia,sentimiento ,grande,Adquirir altura,clima extremo,Rapidez,Adversidad,sentimiento hacia alguien,Pequeño,poder de decisión,Maligno,es promulgado por una autoridad,cara,poco probable,Fuego,educación,corona,Escenas,magico,carretera,limpio,responsable,riqueza,apollo,pueden habitar cocodrilos,altar en cementerio,limite,,arma de fuego,pueden soportar la vida,organización,noticia,libros,Circunferencia,insatisfacción,brillo,Extrañar,Provisiones ,newton,animado,intento de realidad,cansancio,habito,creación,terror,resistente,confianza,exhalación,Cobarde,baja motricidad fina,Figura,ir a una institución por algo,es una relación lógica,leyenda de dracula,valoración alta de si mismo,muchas historias,Alineo de ensalada,familia
16903,,Poder,rosa,Competencia,llamar cuando hay problemas,Medida,Influido por la digestión,necesitados,reglas,Lados,construcción ,traje,choreza,ruido,muerte,patria,Utiliza herramientas,sensacion,investigador,creativo,Muerte,Comodidad,baile,Religión ,diligencia,les gusta la humedad,Tenebroso,rico,plumas,magia,lluvia,unión de telas,Tiene gran tamaño,huevo,satisfaccion,falta de respeto,Esfuerzo,delicioso,Alegria,Engaño,Seres omnipotentes,Bosque,esqueleto,Giros,representación en tres dimensiones de una figura,prestigio,Desagrado,Distintos estados,belleza,Rápidos ,buena suerte,locura,ilucion,generalmente se jala con el dedo índice,anomalia,leña,Reproducción,Cambio de presiones,augurio,movimiento,un cambio influenciado,Consumo,inteligente,emocion ,entrega informacion,Levantar del suelo,brecha,Sutil,Aflicciones,tristeza,Ácido,determinación,Villano ,es un poder que puede ser concedido,cachetes,salvación,Caída de edificios ,caballerosidad,principe,Representación ,brujo,camanchaca,transparente,leal,residencia de un monarca y su familia,abrir,puede ser dificil de identificar,personaje,terreno,,caza,tienen forma esférica,pequeño conjunto de casas,antecedente,cuaderno,Aceleración,enojo por algo,golpe en la rodilla,Recuerdo,Guardar comida,fuerza,felicidad,terremoto,compromiso,beneficio,nacimiento,grito,seguridad,seguridad,agotamiento ,Perosna que se cohibe,que no aprende,vinculado a la música,necesidad de tramitar algo ,se le puede otorgar a un concepto,leyenda de muerto que bebe sangre humana,deseo de halagos,proactivo,Muy acido,pariente
16904,,Dado por la exigencia,hinchazon,juego,reparador,Altura,Proveniente de los pulmones,pelo blanco,requerimientos,Distintas visiones ,colocación,esmoquin,atento,molestia,metal,pedazo de tela,Experiencia,presentimiento,amante de los animales,rebelde,Descomposición,Camisa,bohemia,Iglesia,dinamismo,son feos,Historicas,pollo,patas largas,pelicula,recolectar,sastre,Tiene gran capacidad de personas,duro,pizza,inadecuado,pequeño,chocolate,Expectativas ,Potente,Leyendas,Alrededor de,Fobia,Infinito,resultado de la acción de esculpir,cualidades,habilidad,Algo complejo,subjetivo,Leales ,dinero,imparable,negro,arma ,construccion,carbon,Miedo,Naturaleza,investigación,imparable,peso,Transaccion,mato al gato,tristeza ,pulbicidad,Remediar caída,escases ,Claro,Sollozar,compadecer ,Naranja,experiencia,Oscuro,gobierno,rosacia,felicidad,Pánico,cortesia,princessa,Algo falso,espacio,peligro,brillante,familiar,castillo ,presiona,hay agua estancada,griegos o romanos,superficie,,Muerte,algunos poseen anillos gaseosos alrededor,caserío,conjetura,sufrimiento,Física,incumplimiento,mirada,Vivencias,Repuestos,saltar,celebracion,sismo,compras,prevención,abundancia,panico,robusto,elocuencia,aspiracion larga y espiracion corta ,miedo,ser terco,banda toca canciones de otra banda,Firma,se busca,persona inescrupulosa,querer ser elogiado,decidido,Muy agrio ,algo que guia a otra cosa
16905,,Presente en peleas,Venenoso,juego,arregla cosas,Capacidad,Pequeño cúmulo de gases,uvas pasas,personal,Variedad,reparar,gala,estar listo para todo,Sonido animal imitable por humanos,feria,diferentes colores,manualidad,procesador de alimento,animales,indiferente,Cuerpo,Mujeres,bebida energetica,Congregación ,sabiduria,baboso,Cueva,casero,Gracil,poción ,plantas,hilo,Viaja distancias largas,defensa,seduccion,traicion,pequeño,helado,es una reacción,Brillo,Un ser poderoso,Contexto,Pesadillas,Mareo,"hecha de madera, metal, aleaciones y piedra",poder social,estadistica,Plan,dolor,Cazadores ,azar,sed,oscuridad,pistola,playa,quemar,biología,Fuerza,estudio,gravedad,dominio de algo,Transferencia ,enredo,angustia ,comunicado publico,Elevar objetos,Desierto,Despejado,Llanto,es un sentimiento mas fugaz,Bautizo ,tiempo,Patán ,aviso,sonrisa,Dios,cohetes,nobleza,dinero,Exageración ,planetas,clima,resplandeciente,religion,castillo,física,propio de la naturaleza,lugar,tierra,,Disparo,materia en el espacio con gravedad,localidad pequeña,hipótesis ,conocimiento,Union,tristeza,portal,Nostalgia,Almacenar algo,cama saltarina,impacto,movimiento,gastos,Salud,es el potencial de ser algo más,salvar,gordo,verborrea,tiempo breve ,vergüenza,tropezarse,concierto con personas,Tiempo,se necesita,el conde drácula,preocupación por si mismo ,valiente,Puede venir de frutas o verduras,Union
16906,,Probado por el tiempo,Arma de insectos,logica,se necesita a veces,Rango ,Soplido bucal,olor a cigarro con eucalipto,esfuerzo,Figura greometrica,reconstruir,disfraz,ser más inteligente,Actividad de caninos,Peso,cultura,tecnico,comida,vida,liberal,Difunto,ropa de dormir,cigarro,Lugar de oración ,protección,concha,Rocosas,campo,Bonita,miedo,frutas,aguja,travesía,exterior,tentacion,sinverguenza,atención,postre,se deriva en varias,Característica sobre sale de alguien,Rey,Ambiente,Rechazo,Universo,esfinge,asimetría,entrenamiento,Doble cara,mal sentimiento,Efectivos ,riqueza,pasion,creacion,disparo,cemento,luz,cuerpo humano,Sin rumbo,hipotesis,newton,autoridad,Entrada,misterio,melancolia ,reglas de comunidad,alzar algo,Arena,Sobrio ,tristeza,a veces se usa como disgusto,Segunda mamá ,solidez,Mala intención,tiene un carácter de obligatoriedad,espinillas,Felicidad,fusiles,honor,poder,Falto de veracidad ,estrellas,atrapa niebla,brillantez,bendicion,fortaleza,torque,Oscuro,grecia,propiedad,,Narcotráfico,espacio,villa,algo que no se sabe ,esfuerzo,Balance,no era lo que esperaba,autoconocimiento,devolverse,Acaparar ,lapiz,generar cambio,miedo,familia,Estar sano ,se diferencia ,correr,Duro,labia,se puede relacionar con algo muerto ,introvertido,mala inteligencia espacial,música en vivo,Paciencia,se quiere,conde de pensilvannia,belleza,una persona interesante,Puede venir de frutas o verduras,Relación
16907,,soporte,Espina única,blanco y negro,va a las casas,Proyectil ,Dióxido de carbono con otros gases,paciencia,dedicacion,Lineas,hacer de nuevo,vestido,prevenir,Alerta para las presas,Dieta,historia,profesional,estomago,esfuerzo,arte,Restos,pijama,borracho,Distintas religiones ,apoyo,lento,Humeda,hogar,Blanca,pelicula,verduras,paciencia,barco,Papa,Agradable al gusto,fresco,defecto,torta,pueden ser buenas o malas ,Físico,Una sociedad,Lo que me rodea,Susto,Desconocido,monumento,realeza,esfuerzo,Distintos puntos de vista,repulsion,Nocturnos ,herencia,agitacion,estrellas,fuego,Algo chiquitito,fogon,parte del cuerpo,Incierto ,indice,fuerza normal,predominar,Admisión ,suspenso,desanimo,advertencia,construir algo,Lugar plano,Ver claramente,llorar,Pena,Confianza,independencia,Negativo,es imperativo,parte del cuerpo,Crisis,relacionado con guerra,Enseñanza,absolutismo,Escenografía ,aurora boreal,agua condensada,claro,confianza,lujos,fuerza,Verde,dioses,pasto,,Chispazo ,sistema solar,de carácter rural o más rústico,supuesto ,diversion,Largo,injusticia,identidad,ir hacia atrás,Fuerzas armadas,shock,shock,dolor,rutina,Ser limpio,cuidado,ayuda,Metalico,Olgado,sirve para expresar algunas emociones,asustadizo,lesiones,vinculado a la tributación,Peso,a veces no se necesita,Se transforma en murcielago,arrogancia,una perosona multicultural,Es como un jugo de limon pero de peor sabor,Lazo
17446,,fuerza,Potencialmente mortal,inteligencia,soluciona problemas,Encuesta ,cansancio,pequeña,se domina una tecnica,Conexiones,acomodo,casual,que no te hagan el leso,Muestra de dolor,Justicia ,tortura,hombre,gordo,pruebas,alma,muerte ,sueño,botella,Silencio,jerarquía,espiral,Fria,felicidad,Bebes,hechizero,trigo,abuelas,viaje,Protección,Soberbio en sabor,sinvergüenzura,cariño,azucar,pueden ser buenas o malas ,Superficial ,Importancia,Cercano,Feo,Ciclo sin fin,busto,Posición,talento,Distintas formas de ser,terror,Buenos para dormir ,alto precio,desenfreno,universo,disparador,Difícil de ver,hogar,necesario,Incertidumbre,Pista,una linea,alterar,Incorporación ,Desconocimiento,algo malo ,pare,enderezar ,Planicie ,No beber alcohol ,pena,Tristeza,Cariño,adultez,Perjudicial,puede ser estipulado de manera verbal o escrita,saludo,Solución ,vinculado a una institución de orden,Buenas costumbres,modelo de gobierno,Preparación,epico,choque,definido,bautizo,inmensidad,ingenio,Peligroso,peleas,naturaleza,,Amenaza,lunas ,de carácter rural o más rústico,idea principal de una película ,Mesa de estudiante,Palo con bola,oposición,reacción,involucionar,Personas que van a la guerra,amortiguación,conflicto,estruendo,jefe,Higiene ,de algo fragil a algo fuerte,auxilio,Una sola pieza,Confianza,tristeza,callado,inepto,pago a una institución,Trato de evitarlo,creemos necesitarla en ciertos momentos,Chupa sangre ,querer ser admirado,nómade,Condimento,Amistad entre dos cosas
17447,,tenacidad,Doloroso,tiempo,Trabajador,Transmisión ,olor,jardineria,vocacion,,Decoración,formal,Odiseo,Actividad asociada con la luna llena,Equilibrado,muerte,peluquero,cerveza,trabajos,estilo de vida,persona muerta ,colorido,Bar,Lugar de paz,Jefe de la armada ,molusco,Natural,calor,Pelicula infantil,magia,campo,lana,incrusijada,Envase,Deleite,actuar sin disimulo,poco notable,dulces,cambia la manera de actuar,Atractivo,Valor,Limite,Sorpresivo,Muchas vueltas,"representación religiosa, simbólica o histórica",Legado,genetico,Fingir,poco placentero,Tenaces ,patrimonio,Locura,espacio,dedo,Indivisible,horno,procesos hormonales,Arrasador ,Indicador débil,tren,tener un efecto,Adentrarse,Angustia,cosas que no se pueden revertir ,ceda el paso,sublevarse,Vacío ,En buen estado,depresión,Llanto,Especial,concreto,Hacer algo con conciencia que es malo,regla,beso,Misterio,usado por militares,Agrado,modelo en europa antigua ,Dramatismo,divino,nube,resolución,mano derecha de tus papás,castillo,mover,Naturaleza,olimpo,hogar,,Defensa,centro de gravedad,pueblo,Regla,Espacio del alumno,Gravedad ,Equeja,Espejo,volver a un lugar,Ser precavido,coil,alboroto,daño,fin de mes,Doctores,Planta,urgencia,Hielo,Actitud,se asocia con la melancolía,personalidad,weon,dinero que entregan los ciudadanos,Necesario,util,Sale por las noches,presumir algo,divergencia ,Liquido acido,cercanía con algo
17448,,valor,Pequeño,tactica,Repara tuberías,Circular ,motivacion,bastón,cualidades,,Restauración ,vestimenta,valiente,Onda mecánica proveniente de hocicos o bocas,Estatua de la libertad,democracia,independiente,ombligo,cientifico,filosofia,años ,ropa para dormir,Establecimiento donde se puede beber alcohol,Vestimenta acorde,Fuerzas armadas,marino,oscuro,bienestar,Agua,brujeria,agricultura,chaleco,aventura,Superficial,Exquisito,falta de respeto,facil de omitir,suave,algo interno del humano,Especial,Organización,Con lo que tengo contacto,Miedo,El más allá,"representación religiosa, simbólica o histórica",Nivel,innato,Apariencias,triste,Peludos ,destino,Felicidad,cosmos,muerte,Piedra,chimenea,crecimiento ,Desorden,Búsqueda,movimiento,poder,Sueldo,Misterioso,tristeza,publicidad,no se lo que es,Seco,Pensar fríamente ,discusión,Lagrimas,Hada ,Edad,Picardía,contrato entre 2 personas,apretón,Biblia,importante para una estrategia militar,Aceptación,jerarquía,algo falso ,dioses,gris,enfoque,amigo,mansión,ayuda,Tranquilo,poder,plantas,,Videojuegos ,fuerza ,toda la población se conoce debido a su pequeño tamaño,Orden,Superficie sobre la que uno toma notas,Movimiento,Enojo,Agua,volver a un punto,Introversión,elastico,agitación,algo igual a otra cosa,sueldo,Enfermeros,relacionado con la agricultura,miedo,Dificil de romper,Agilidad,es el nombre de una cancion,nuevo,inútil,Reconocimiento,mamá,permite confirmar creencias,Debil al ajo,proviene del ser humano,cultura y conocimiento,Sirve para limpiar,estar junto a una cosa
17449,,valentia,Puntiagudo,competencia,Es un oficio,Lanzar ,animo,arrugas,habil,,Corona de Flores,ropa,heroe,agudo,equilibrio,política,emprendedor,parte del cuerpo,investigacion,espiritu,algo que lla no existe ,hecho de tela,Centro de reunión para borrachos,Fe,Jefe,terrestre,escondida,amor,Pantanos,maldicion,rural,arreglar prenda rota,relajo,Café,Muy sabroso,atrevimiento,mirar atentamente,ternura,a veces es visible,Detalle,Grupo,Tangible,Desagradable a la vista,Patrón,"representación religiosa, simbólica o histórica",Lugar dentro de una sociedad,esquivar,Máscaras ,betty,Sigilosos ,bienes,Exaltación,astronomia ,bala,Duro,fuego,celulas,Peligro,pista,física,acto de influir ,Entrar,Ansioso,arrepentimiento,semaforo,orden,África ,claridad,gota,Debilitamiento ,Magia,Experiencia,Oscuro,decreto ,afecto,Es un hecho que ocurre inesperadamente ,lo puede disparar un avión,Comportamiento,poder entregado por dios,busca distraer,mitologia,poca visión,vista,Adulto,esplendor,peso,Vida marina,grandeza,arboles,,Guerra,vida,Tiene acceso a servicios básicos,Supuesto,Puesto,hilo ,Sevicio al cliente,Realidad,deshacer trabajo,Cautela,fuerza,ruido,ruido,dinero,Limpieza,origen de frutas o verduras,pánico,Cambio de fase,Desenvoltura,esta compuesto de aliento,Falta de seguridad,lento,Respeto,doctor,indica veracidad,No se puede ver su reflejo,se asocia con una fijación con su aspecto físico,cultura y conocimiento,Es como el alcohol ,relación
17450,,comunidad,Molesto,dificil,No es una carrera,Proyectar ,respirar,espalda encorbada,facultad,,Mantenimiento,moda,arrogancia,molesto,Pesa,régimen,estilista,pelos,ciencias naturales,artistas,fin de la vida ,grande,Establecimiento característico del viejo oeste,Dioses,Cabeza del equipo,sinusoidal,sola,frio,Largos vuelos,maldad,beneficio,cocer,descanso,Chanchitos,Ricura,actitud desafiante,minucioso,Cariño,a veces se pueden controlar,Sobresaliente,Tipo de empresa,Distancia,Horrible,Mente,"rigidez y firmeza, imponente, estático",Algo que la gente aspira tener,flexible,adolecente,horrible,gatos,éxito,Buen animo,nebulosa,metal,Difícil de tomar solo uno,bruja,desarrollo,viento,inicio,reposo,efecto,Cambio,Querer saber más,fallo,carretera,petición,Calor extremo ,atento,tristeza,Cabizbajo ,encargada,Responsable,Estrategia,acuerdo común ,cara,No se puede explicar,genera destrucción,Mesa,injusticia,creado por un grupo opositor,contelaciones,nubes,imagen,Protector,monumento,pivote,agua,cementerio,paz,,Desconfianza ,distintos compuestos ,alejado de la ciudad,Hipotesis,Mesa con silla de escuelas,metal,Mal servicio,Inverso,hacer camino inverso,Misterio,energia,estallido,terror,ganancias,Cuidado personal ,origen de frutas o verduras,desesperación,Temperatura,Descaro,es breve,inocencia,tonto,Estado,banco,permisividad,Criatura con forma humana,se asocia con gente adinerada,crecimiento,Parecido al vino,unión 
17451,,la u,Órgano para atacar,esquema,Requiere conocimiento técnico,trata de un rango de cosas,felicidad,lentes,habilidad,,Belleza,buen estilo,prepotencia,chillon,Masa,tela,artista,Guata,verde,Noche,asesinato,pijama,Termino antiguo para referirse al lugar donde se bebe alcohol,Silencio,Lider,plaga,silencio,calor,bebé,daño,utilidad,ropa,barco,Contenido,Un manjar de dioses,desfachatez,objetos,Azucar,intrínseco,Agradable,Tiene características especiales que la definen,Influencia,Terror,Circular,"rigidez y firmeza, imponente, estático",Mientras más mejor,manejo corporal ,emo,asqueroso,tigres,dinero,Descontrol,polvo,palanca,Diminuto,quemar,innato,destrucción,cuidado,seguir,influencia ,Sueldo,Sorpresa,problema,pasa las llaves,favor,Escasez de agua,,dolor,Falta de energía,madre,Adulto,Engaño,representación ,cachete ,Algo divino,trae como consecuencia caos ,Protocolo,desigualdad social,genera incertidumbre,santo,agua,muy claro,Cuidador,riqueza,girar,sucio,entierro,pasto,,Seguridad,distintos tamaños,que tiene población o que está habitado,Firme,Banco,movimiento constante,Crítica,Imagen,retroceso,Desconfianza,tensión,agitación ,respuesta,ingresos,Salubridad ,pepa,gritos,Duro ,Facilidad,es calido,introvertido,tonto,Ingreso,tardio,verdad,Un símbolo de Halloween ,es mayoritariamente femenina,buscar metas,Acido,conexión
17452,,resistencia,Duro,conexiones ,trabajo,se intenta maximizar,comunidad,dentadura,ganar,,Magnífico,influencer ,sobresalir,incomodo,Metálica,patriotismo,creatividad,Enfermedad,estudian la vida,Artista,tu tiempo ya llego ,dormir,Negocio en que se vende alcohol y se tiende a proporcionar alguna entretención,Fe,Persona influyente ,caparazón,nocturno,sopa,guagua,dolor,Tierra,tejido,va en el mar,Nuez,Agasajo al paladar,falta de pudor,dificil de notar,Golosinas,tiene intensidades,Amoroso,Asociación,Espacio delimitado,Impacto,El radio del circulo crece,"rigidez y firmeza, imponente, estático",Fama,esquivar,evolucion,vomitivo,leones,herencia,Fuera de si,estrellas,arma,Suave,medieval,unico,es una emergencia natural,estar atento,newton,autoridad,Ganancia,Duda ,emocion,cartel,acción,Sabana,,ojos,Lento,persona cercana,Respetuoso,Acto,orden,rojez en la cara,Fuera de lo mortal,Peligroso,Conducta,se mantiene en base a su pueblo,se usa en situación de caos,espiritu,humedo,fácil de ver,Persona responsable por niño,monarquía,jalar,sapo,estructura de marmol,amplio,,arma de fuego,sistema solar,que tiene población o que está habitado,Ciencia ,mesa,oficina,Restoran,Visión ,vuelta,Guardar,metalico,alboroto ,repeticion,remuneración,Duchas,el comienzo para cosechar ,peligro,Roca,Prontitud,preocupación,callar,tosco,Impuesto,cansador,que es correcto,Su mayor representante es el conde dracula,individual,realidades diferentes,Para aliñar ensaladas,afinidad
17453,,fuerte,abeja,Inteligencia,casas,es importante en la enseñanza ,equipo,falda larga,postura,,Pulcro,redes sociales,ignorancia,gato,Digital,emblema,peluquero,Descuido,ciencias,Alcohol,organos ,suave,Negocio en que se vende alcohol y se tiende a proporcionar alguna entretención,Creencias,Alguien que manda,lento,salvaje,delgado,mito,miedo,Siembra,arreglar ,muchas paradas,Proceso mental,Sensación muy grata,soltura,algo específico,Hijos,difícil de ocultar,Carisma,Estructura física,Energía,Amenaza,Es proporcionado,monumento,Clase,evitar enfrentarse a un problema,diferente etapa en la vida,horripilante,peludos,suerte,Alegria desbordante,planeta,Mecanismo usado para disparar,Liso,asado,comunicacion entre cuerpos,genera miedo,situación ,gravedad,dominante,Futbol,Pensamiento ,depresion,madera,trabajo físico,Terreno plano,,sufrimiento,Curvado ,amigo de los padres,Crecimiento,Maldad,regimen,Pomulos,es algo religioso,Dañino,Mamá,rey,noticia falsa,fe,mojado,lo opuesto a opcaco,familiar de confianza,opulencia,mecanismo,cavarna,perpetuo,verde,,genera heridas,atmósfera,lugar muy habitado ,Investigación ,colegio,fisica,Algo no esperado,Uno mismo,ir al paso anterior,Protección,flexible, que causa ruido,copia,mensualidad,Salud,a partir de lo cual se genera un fruto,terror,Con base,Gracia,alivio,ansiedad,dificultad,evento,necesario,certeza,Se asocian a la época medieval,egoista,paciencia y preparacion,Para desinfectar heridas,nexo
17454,,temple,dolor,Rusia,construcción,importante al transmitir información ,cansancio,caminata lenta,adaptibilidad,,Perfección,costoso,faltad de criterio,perro,Gancho,identificación,barba,Grasa,mar,Fiesta,descomposición,sueño,alcohol,Sagrado,Lider de un equipo de fútbol ,debil,hogar,pollo,sexo,anabelle,Estacional,unir tela,viajar,Pelar,Experiencia placentera,falta de compostura,regalo,Niños,necesaria,Dulzura,Cuerpo,lugar que rodea,Horror,se va agrandando,cara de una persona en un material robusto,Tu pasado lo define,no pagar impuestos,gustos,horrible,con garras,oro ,Delirio,sistema solar,Gato pequeño,Pequeño,reunion,sexo,es peligroso,locura,fuerza,Persona que influyo en otra,Remplazo,Intranquilidad,nostalgia,información,acción física,Extenso,,mal animo,Papel,,Superación de niñez,mala intención,dictado por la ley,Beso en la mejilla ,sobrenatural,Doloroso,saludar,soberano,busca la desinformación,creencia,blanco,bien enfocado,amigo de confianza,lujo,automovil,oscuro,antiguo,vivienda,,puedes matar a alguien,Tierra,muchas personas habitan ahí,Concepto base,infancia,,Mejorar,Tranquilidad ,volver a un lugar,Territorio,Física, que llama la atención,objeto igual a otro,asignacion,Limpieza,importante para el desarrollo humano,emergencia,Con respaldo ,libertad,terrorífico,autoestima baja,lento,único,es de adulto,real,Es como un demonio,superficial,paciencia y preparacion,Para eliminar piojos,conecta 2 cosas
17455,,Fuerte,enojo,Deporte,empresas,debe ser eficaz,correr,estatura baja,creatividad,,Natural,tienda de retail,no medir consecuencias,queja,Sube y baja,estandarte,pelos,Hipertension,células,Queen,podrido,blanco,ebrios,Religión,Guia ,blando,cubierta,verano,infancia,Hechizo,sendentarismo,maquina de coser,conocer distintos lugares,Huevo,dulce,politicamente incorrecto,característica o algo pequeño,Fruta,existe más de una,Atractivo,Algo desconocido,medioambiente,Miedo,Circulo dentro de otro círculo más grande,obra de arte,Se puede ganar,impuestos,pelolais,desagradable,rasguñan,puede ser buena o mala,exaltación de animo,cúmulo,Detonante,Pequeño,llama,señal biológica,descontrol,psicópata,cientificos,persuadir ,Entrar a algún lugar,Chisme,Pena,publicidad,necesita fuerza,Campo,,emocion,pena,,Mejor comprensión,actuar con maldad,incuestionable,Parte del cuerpo ,beneficioso,Destructor,mesa,quien dirige un reino,parece real,majico,miedo,mejor calidad de imagen,pariente ,fortaleza,cambios,germenes,filosofo,cultivos,,disparos,"orbita una estrella, el Sol",pequeña ciudad,Vocación ,tareas,,Enojo,Soledad,ya estuviste antes ahí,Respaldo,Juguete,ruidoso,Similar,paga,Desinfección,lo relaciono con un grano,Pedido de ayuda,Irrompible ,flexible,bajo,mirada calma,incapaz,agradecimeinto,nervios,fundamento,Se asocia murcielagos,no es virtud,atracción por lo desconocido,Olor fuerte,puede ser real
18813,,Grande,hinchazon,Diversion,dinero,debe ser inmediato o muy rápido ,hinchada,tardes con los nietos,Carácter,,Blanco,zapatillas,adrenalina,enojo,Instrumento,insignia,estilista,Poco ejercicio,medicina,Paris ,muerte,comodo,mal olor,Todo blanco,Director,inofensivo,montaña,casa,inocencia,Maleficio,orden de la tierra,aguja,marineros,Protección,placer,desvergüenza,algo casi imperceptible,Calorias,se siente,Atrayente,Cosa,lugar,Repentino,tiene muchas curvas,escultura,Respeto,metro De Santiago ,cultura,deformidad,arañan,persona con riqueza,vilencia,Estrellas,Acción que causa otra,Duro,candelaria,viajan por el aire,genera desesperación,entender,Movimiento,provocar un efecto,Dinero de cada persona,Secreto,Dolor,letras,contrario a gravedad,Liso,,sentimiento,tristeza,,Desarrollo,deshonestidad,penitencia,Esta abajo del ojo,inexplicable,guerra,cordialidad,porta una corona,dificil de identificar ,inexplicable,oscuridad,nitidez de sonidos,tutor,museo,torque,laguna,Grecia,terreno,,relacionado con guerra,cuerpo celeste,fuera del sistema actual,Aceptación ,castigo,,Desconformidad,Pureza ,camino era equivocado,Resguardo,Reacción,produjo un gran revuelo,imitación,Sueldo,Cuidado,Fruto,Necesidad de apoyo,Fuerte ,adaptativo,suave,interesante,incompetente,velorio,importante,legitimo,Palido,es mala en grandes cantidades,abrirse a cosas nuevas,De color ,puede estar en la cabeza de las personas
