acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
['favorecer representatividad'],['realizar gesto bondadoso persona forma gratitud'],['relacionar chantaje'],['producir gana comer'],['comprensión suceso malo'],['soler realizar acción reparar él'],['declinar yo'],['requerir credibilidad'],perturba demaciado,['positivo'],['verde'],['mentir'],['sonrisa'],['ir bien negocio obtener … …'],cualidad,['transparente'],['deber cumplir gustar'],"['consecuencia', 'poder traer rabir', 'ira descontrol persona']",['posibilidad'],generar pregunta,['acción mente'],['poder ser estudio'],['asocia proporcion'],['poder tener mismo'],['acotación'],['ser real'],['poder']
['sublimo relación interpersonal'],['regalo cariño'],['generar angustiar recibir'],['producir esperar alguno respuesta situacion'],['tristeza'],['intentar enmendar él'],['dos cosa deber tomar'],['descripcion'],persona alterar,['poder utilizar él diferenciarte resto'],['sentimiento necesario adversidad'],['manipular informacion conveniencia'],['objetivo vida'],['mayor … … mejor'],medir capacidad,['miente'],"['pequeño', 'ir colegio … …']",['dependencia hacia objeto persona aunque hacer mal'],['posibilidad surgir'],cuestionamiento,['circunstancia activo mente'],['acuerdo'],['argumento'],['poder trabajar si'],['consejo'],['transparencia vida'],['conocimiento']
['país realizar mucho vez largo historia'],['mas totalmente acuerdo termino condición'],['forma manipular persona'],['gana saber'],['sentimiento'],['sancionable'],['preferir'],['significar'],incontrolable,['poder explotar él'],['deber perder él ninguno momento'],['efímero'],['observar gente simpático'],['necesario sobrevivir'],persona contar,['verdad'],['contrario prohibicion'],['asociado trastorno compulsivo'],['posibilidad hacer siempre quisiste nunco podido'],amenazar,['hacer diar'],['respaldo'],['testimonio'],['construir experiencia'],['idea podrio ser aceptado'],['decir actuar forma natural'],['sabidurio']
['llegar resolución'],['recibir dar cambio'],['conducta extremo conseguir fin'],['dar poder esperar'],['lástima'],['poder llevar castigo'],['elección'],['dicccionario'],alteracion,['habilidad realizacion'],['fe'],['aquel causa placer conformidad persona'],['payaso'],['beneficio sobrepasar perjiuicio'],trabajar perfeccionar él,['puro hablar'],['forzar'],['gusto sobreexagerar determinado cosa'],['privilegiar poder demostrar habilidad capacidad solicitar'],riesgo sufrir daño,['permitir resolver problema'],['hacer ir preparado'],['ser logico'],['reconfortante'],['recomendación'],['tergiversar cosa'],['completitud']
['trato dos parte'],['hacer bien realizar'],['posible peligro'],['sentimiento angustiar'],['benelovencia'],['sentimiento atormentar realizar malo accion'],['constancia'],['entender necesitar'],ver aprieto,['capacidad'],['cosa estarir mejor'],['aquel provocar tranquilidad sentimiento alegría'],['risa'],['casi siempre hablar concepto término monetario'],gente discapacidad costar conseguir él,['contrario mentira'],['comprometer'],['desear exceso'],['momento abrir espacio inclusión alguno concepto persona'],persona amenazante poder ser,['permitir razonar'],['buen malo'],['poder ser verdad mentira'],['confort'],['indicar buen camino'],['uso mascara omisión'],['competente']
['forma generar paz país'],"['mientras potencies', 'feliz']",['dar inseguridad persona'],['fuerte necesidad'],['abuelo generalmente ocasionar persona'],['menudo afectar si conciencia limpio'],['seguridad'],['forma mas explicitar entender'],saber mas hacer,['asocia actividad'],['soler perder él'],['conseguir concretar sueño'],"['íntegro ser', 'momentáneo']",['aunque poder referir él varios ámbito aprendizaje'],capacidad hacer,['escasear hoy diar'],['influir'],"['relación tormentosa hablar amor', 'sino transtorno']",['privilegiar perfeccionarte determinado área'],falta seguridad,['permitir replantearno cosa'],['preparado'],['fundamente vida'],['estabilidad'],['orientar'],['decir cosa tapujo'],['estabilidad']
['solucionar conflicto persona hacer'],['salir carrera dar madre'],['peligroso'],['controlable'],['gente indefensa'],['poder afectar animo'],['asertividad'],['explicar palabra mejor manera'],ansiedad,['poder ser potencia'],['causa diferente emoción gente'],['tranquilidad'],['sentimiento agradable'],['contrario perdido'],existir tipo,['verdad'],['presionar'],['amar cosa'],['poder hacer'],salir calle noche barrio oscuro,['ayuda poder filtrar decir'],['siempre b'],['ambiguo'],['sentir miedo'],['ayudar'],['hecho cierto'],['calma mental']
['sintetizacion idea general'],['expresión gratitud'],['dañino'],['sentimiento negativo'],['bueno'],['usado ley determinar sentencia persona'],['elegir forma informado'],['describir'],nerviosismo,['cierto actividad necesitar'],['gratitud'],['fe'],['sentimiento provocado situación positiva'],['aumento'],diferente cada persona,['pureza'],['relacionar'],['soltar él nunca'],['contexto hacer'],edificio viejo terremoto,['relacionado cerebro'],['dar mayor probabilidad éxito'],['capacidad humano'],['proteccion'],['apoyar'],['hecho real'],['habilidad mental']
['pacto'],['poder utilizar finalizar trato'],['probabilidad pase malo'],['oscuridad'],['persona ayudar pobre'],['alguno gente mas propenso poseer él'],['afirmar cierto posibilidad'],['personal'],sentimiento angustiante causado fracaso,['experiencia'],['felicidad'],['esperanza'],['ánimo'],['sumar'],si bueno desarrollado,['claridad'],['empujar'],['loco alguien'],['perdonar'],tipo situación,['tambien relacionado lógica'],['estrategia'],['permitir'],['peligro'],['dar idea saber si llevar cabo'],['real'],['maximo expresion']
['deber cumplir'],['sient alguien dar necesita'],['peligro provocar alguien'],['claustrofobia'],['bondadoso'],['malhechor'],['certeza'],['depender punto visto cada'],sentimiento producido falta capacidad esperar,['automatico'],['aceptar ocurrido'],['pretexto'],['estilo vida'],['cantidad'],acción crear,['sinceridad'],['exigir'],['obsesiono comida especifico'],['dejar persona volver realizar'],dar preseiente podrio salir mal,['abstracto'],['idea'],['coherencia'],['cuidado'],['opinar alguno reunion'],['honestidad'],['culminar']
['concuerdar dos parte'],['salir tiendar lugar expreso'],['miedo alguien'],['producido situación estresant'],['entender persona'],['sentimiento'],['tener certeza realizar acción'],['cosa mas complicado'],poder funcionar mecanismo defensa caso particular,['involucra pensamiento'],['contagia'],['forma esquivar'],['alegrio'],['utilidadser'],destreza,['transparencia'],['constreñir'],['cuidado'],['repetir'],cuidadoso encontrar tipo situaciónn,['mostrar forma ver cosa'],['todo actividad deber tener llevar él cabo'],['razonamiento'],['poner candado'],['solucion pensado anticipadamente algun suceso'],['realidad ocurrido'],['felicidad']
['consenza'],['satisfecho'],['alguien potencial causar yo algun perjuicio'],['nervio'],['empatiar'],['pesame mental'],['tomar definición'],['necesitar previo conocimiento'],angustiar,['profesional'],['crítica'],['soler ser mentira'],['sensacion placer'],['dinero extra'],dominio,['leal'],['deber'],['malo forma amar'],['mejorar hicistir principio'],generar persona estir mas atenta,['limitar'],['confección mental buscar lograr objetivo'],['existir diferente tipo'],['sensacion comodidad'],['opinión'],,['cumpl objetivo']
['unanimidad'],['experimentar hacia'],['invasión alienigenar potencial …'],['inquietud'],['tranquilo'],['incomodidad'],['tomar postura convicción'],['hecho'],estrés,['habilidad innato'],['futuro'],['pretexto'],['positivo'],['ventaja situacion'],cualidad,['compromiso'],['prohibicion'],['querer cosa importar mas'],['posible evento provechoso'],generar persona liberar adrenalinar si suceder,['parte cognitivo ser humano'],['hacer querer realizar viaje anticipacion'],['permitir planteo idea'],['guardia'],['propuesta'],,['llega bien final']
['conformidad'],['recibir después hacer favor'],"['secuestro', 'siempre … …', 'matar rehar']",['incertidumbre'],['pasivo'],['malestar'],['elección'],['servir entienda cierto cosa'],escás recurso,['usain bolt deportista poseer'],['sentimiento cumplir deseado'],['prorrogar'],['cuerpo'],['fortuna'],tener capacidad hacer,['relacion'],['hacer'],['desear mal trabajar'],['situación posible ganancia'],generar persona mas cuidadosa,['poder ser positivo negativo'],['jefe guerra hacer buscar ganar'],['requerir pensamiento'],['antiviru'],['persona proponer realiz acción presión'],,['alguien inteligente']
['tratado'],['mostrar gratitud'],['utilizar obtener costa hacer peligrar importante'],['estrés'],['perdonar'],['maldad'],['determinación'],['ayuda comunicar yo'],limitación,['ingenio'],"['sentir querer alguien', 'vaya bien']",['palabra safar él alguien'],['transmitir'],['ingreso gasto'],inteligente,['decir verdad'],['bajo ley'],"['querer si', 'importar consecuencia']",['chance'],riesgo,['filósofo fuente conocimiento'],['personaje serie libro decir idea'],['interponer emoción'],['contraseña'],['aclarar persona respecto tema manipular'],,['gana juego']
['justo'],['mostrar afecto después prestar atención'],['deber generar miedo'],['incomodidad'],['agobio persona'],['dolo malo intencion'],['querer hacer'],['necesitar observacion enterder'],hacer obligado,['habilidad'],['gente pueblo guerra'],['narracion hecho'],['irradiar'],['gente esperar obtener él vida laboral'],dominio materia,['sinceridad'],['autoridad dar'],['enfoque egoista desear'],['posibilidad'],punto llegar malo situacion,['razonar'],['realizar lobulo frontal'],['plenitud'],['barrera'],['aclarar confusión'],,['lograr']
['involucra responsabilidad'],['gracias'],['dificultad enfrentar'],['dificultar pensamiento'],['ayudar persona'],['reflexion mal acto'],['definitivamente'],['tender ser objetivo'],crítico,['capacidad poder realizar accion'],['saber vendra despu'],['justificacion'],['opuestar tristeza'],['rentabilidad'],técnica,['ser transparente'],['estudia prueba'],['dirigir atencion cosa persona luchar obtener él contratodo'],['aprovechar él'],malo,['asociar'],['usar representación mental'],['estudiar kant'],['tranquilidad'],['orientar'],,['asaño']
['compromiso'],['sentimiento satisfacción alguno buen acción'],['barrera cumplir objetivo'],['angustiar'],['misericordia'],['pesame conciencia'],['tener mente'],['plasmar determinado concepto'],vivir persona,['habilidad'],['soñar gratificacion futuro'],,['buscar vida'],['vendo obtener'],talento,['decir cosa sentir necesitar gran'],['trabajo'],['querer tener'],['ventana'],producir miedo,['forma hacer conciencia'],['expectativa realizar futuro'],['dar alguien decir correcto'],['contencion frente situacion'],,,['bien']
['tratado'],['capacidad dar gracias'],['existir mucho amenaza real'],['dificultad'],['perdonar culpable'],['emoción consecuente hacer daño'],,['ampliación término entendimiento'],común fin semestre,['aptitud'],['fe'],,['bienestar'],['obtener'],arte,['valor'],['estudiar'],['visio'],['ahí demostrar capacidad'],tratar evitar él,['forma analizar cosa'],['objetivo'],['argumento'],['dinero decir otorgar'],,,['necesitar esfuerzo']
['establecer dos entidad fin'],['reconocimiento aspecto positivo'],['riesgo'],['enfermedad'],['sentimiento'],['ahoga'],,['establecer límite'],emoción negativo,['idoneidad'],['último perder'],,['contento'],['venta buscar'],don,['virtud'],['todo mamá'],['ser incapaz dejar él'],['opcion'],cuerpo preparar momento de …,['humano capaz ocupar él'],['organizado'],['vincular valoración'],['confianza si mismo'],,,['poder lograr él']
['trato'],['recompenso'],['exposición peligro'],['falta autocontrol'],['llevar hacer acción alguien'],['alejar'],,['significar palabra'],angustiar,['persona dedicar'],['fe nuevo oportunidad'],,['emoción positivo'],['dinero'],capacidad,['desarrollar'],['trabajar'],['siempre'],['tener alternativa'],amenazar externa,['involuntario'],['proyectar futuro'],['proporción'],['salvo'],,,['necesitar disposicion']
['informal formal'],['brindar gracias'],['deber cuidarno'],['sensación nervioso poder ser angustiar inestabilidad'],['persona mas fria menos'],['sentir avergonzado'],,['describir concepto'],sentimiento negativo,['poder adquirir innatamente práctica'],['poder ser nombre mujer'],,['alegría'],['empresa rentable poco'],saber hacer,['principio'],['comprometer'],['sentimiento'],['chance frente cosa'],riesgo,['poder potenciar'],['preparado'],['sabiduer'],['tener respaldo'],,,['aspirar']
['formal deber legalizar'],['manifestar él bueno hacer persona'],['tener precaución'],['sentir exámen'],['naturaleza humano'],['deber limpiar él superar él'],,['lexico'],pensar solución,['mejor deportista disciplina'],['creer imposible poder arreglar'],,['regocijo'],['contrario perder'],ser bueno especìfico,['persona agrado'],['responsabilidad'],['pensamiento recurrente'],['abrir ventana vida'],posibilidad daño,['permitir tomar decisión'],['paso'],['saber'],['protección'],,,['poder tener diferente significar cada persona']
['respetar informal determinar persona'],['demostrar tomo contar realizar'],['recepción generar angustiar'],['sentir forma dar gana comer'],"['producir internamente', 'espiritual']",['arrepentimiento'],,['explicar'],contrario esperanza,['realización correcto quehacer'],['fe'],,['bueno'],['beneficio'],fuerte alguien,['necesario'],['tarea hacer'],['apego'],['situacion poder arovechar'],situacion advertencia,['poder involucrar cualquiera tema'],['guia'],['equivalencia'],['velar bienestar'],,,['meta claro']
['llevar cabo dias'],['manifestación positivo'],['buscar hacer daño'],['nervioso exceso sentir así'],['buen'],['posterior experimentar daño hecho'],,['entenderer comenzar'],cuanddo necesitar urgentemente saber poder tener,['mejor forma hacer cosa'],['sentimiento'],,['provocar sonrisa'],['utilidad'],capacidad realizar alguno tarea,['mucho gente'],['deber'],,['posibilidad'],situacion poder haber elemento peligroso,['asocia personalidad'],['modelo seguir'],['usar matemática'],['guardia'],,,['buscar objetivo personal']
['formal poder tener grande consecuencia'],['dar respuesta'],['realizar objetivo venganza'],['nervio'],['ayuda ser mas solidario'],['sentimiento'],,['concepto'],tratar evitar sentimiento buscar solución,['ser hábil'],['fe'],,['ánimo'],['ingreso'],lograr pràctico,['dificil efectuar'],['calificación acción mandar'],,['instancia deber ser aprovechado'],elemento peligroso poder ocasionar grande daño,['voz interno'],['estructurado'],['creer siempre tener'],['encargado defenderno'],,,['cualidad']
['poder ser interno persona externo'],['cordialidad'],['ver advertencia ultimatum'],['consecuencia constante estrés'],['ayuda pensar progimo'],['alguein comete error'],,['acuerdo'],agobio,['hacer facilidad trabajo actividad'],['poder terner fundamento racional'],,['alegría constante'],['empresa mover tener él'],,['buena persona'],['deber ayudar equipo trabajo'],,['alternativa surgir inesperadamente prometer ser beneficioso'],arriesgar él pasar,['lenguaje generado interior persona'],['involucra espontaneidad acontecimiento'],['seguridad fremte'],"['carabinero', 'bombero']",,,['lograr meta propuesta']
['dos parte poder llegar'],['educación'],['delincuente soler usar él'],['preocupación futuro'],['gente buen mas presente'],['infracción'],,['concenso'],impotencia,['tener mayor capacidad innato'],"['esperar mejor', 'preparado peor']",,['poder llorar'],['presente finanzo economía'],,['cualidad'],['padre imponer casa'],,['chanche'],riesgo,['aun saber provenir'],['proyecto'],['certeza'],['antiviru'],,,"['poder ser él persona', 'idea', 'proyecto', 'etc']"
['idea satisfagar participante'],['respuesta frente causa favorecer'],"['peligro', 'riesgo', 'dañino', 'herido', 'muerte', 'asesino', 'daño', 'virus', 'enfermedad', 'corrupción']",['poder ser tipo trastorno'],['cualidad'],['sentimiento'],,['tomar decision'],encerrado,['rápido obtener mejor resultado'],['poder ser objetiva subjetivo'],,['sentimiento agradable'],['contador calcular'],,['fiel'],['deber'],,['ocasiòn perfecto'],acción perjudicar bienestar propio,['informacion yacer mente'],['determinacion futuro'],['lógica'],['bloqueo mal'],,,['poder ser personal grupal']
['trato'],['sensación'],['riesgo'],['poder derivar crisis'],['apiadar él'],['humano'],,['dar él termino idea'],salida,['característico persona alto rendimeir'],['objetivamar poder ser termino matematico valor exacto'],,['sentimiento'],['normalmente medir cantidad dinero'],,['siempre deber existir relación pareja'],['tener hacer si si'],,['momento apropiado'],correr algun riesgo,['simbolir mental representar realidad'],['camino seguir'],['poseer ser humano'],['demostrar él firme posición'],,,['grandeza']
['llegar conformidad'],['conforme'],['dañino'],['trastorno'],['dios cualidad'],['suceder hicistir malo'],,['explicar caracteristica alguno plabar'],angustiar,['ir mejorar práctica'],['subjetivamente multipl aplicación'],,['generalmente atribuir gente encontrar sonriente'],"['cantidad remuneración', 'dinero', 'tributo especie']",,['cualidad moral'],['desesperación'],,['poder dejar pasar'],guagua soler mas expuesta concepto,['razonamiento'],['coordinacion idea fin'],['resolución problema'],['cuado hogar supuesto …'],,,['ser mejor hacer']
['tregua'],['ligado modal'],['herido'],['intranquilidad'],['empatir'],['sentir mas'],,['dar significar'],solución aparente,['relacionado desempeño'],['fe'],,['positivo'],['dinero generado producto trabajo trueque'],,['ser transparente dema'],['querer hacer volutariamente'],,"['si dar', 'aprovechar']",deber tener cuidado,['reflexión'],['organización'],['contrario instinto'],['riesgo alguno'],,,['vaya bien futuro']
['involucra 2 mas persona'],['forma recompensar alguno favor'],['muerte'],['impaciencia'],['apiádate favor'],['mal'],,['dar idea objeto'],sentimiento intranquilizante,['ágil'],['creer'],,['intentar sentir yo así'],['ganar'],,['guardar él secreto'],['deber'],,,poder afectar fisicamente,['análisis'],['conseguir meta'],['pensamiento racional'],['tranquilidad'],,,['esfuerzo']
['usado frecuencia negocio'],['sentimiento despu alguien hacer'],['asesino'],['poder producir bajo presión'],['debilidad'],"['poder durar', 'tiempo']",,['hablar forma constituir'],provocado desición persona,['obtener mayor rendimiento'],['religioso creer'],,['alegrio'],['obtener beneficio'],,['hablar siempre verdad'],['universitario dar prueba aunque gustar'],,,constantemente expuesto él,['idea'],['idea'],['logica'],['amenazar alguno'],,,['acción conseguir lograr']
['modo usar razon lograr inter comun'],"['si hacer favor', 'sentir ……']",['daño'],['creer desorden cuerpo'],['concepto lastimo'],['generalmente saciar él alguno accion'],,['explicar respecto tema específico conoz'],perder tranquilidad,['cosa hacer ser profesional'],['creer poder pasar'],,['sonrisa'],['dinero obtener ser invertido objeto'],,"['expresar', 'preocupar él consecuencia traer dicer él']",['hacer compromiso persona cumplir él'],,,delincuente ejemplo concepto,['aquel pasar mente'],['solución problema'],['servir explicar cosa traves pensamiento racional'],['protección'],,,['expresión dar ancalzado']
['avez usado conveniencia'],"['gran ……', 'hacia padre']",['virus'],['nerviosismo'],['lastimo'],['atacar mentalmente'],,['acotar'],sentimiento surgir sentir yo presionado,['habilidad'],['último perder'],,['nacimiento'],['expresión dar comprar aun determinado precio vender valor muho mayor'],,['acción decir verdad'],['terea'],,,motivo deber cuidar,['operación intelectual'],['proyecto'],['gente intentar tener control'],['tener guardia poder darte cierto …'],,,['lograr objetivo']
['poder llegar perjudicar alguien'],['contrario resentimiento'],['enfermedad'],['emoción'],['preocupacion'],['terminar alivio'],,['describir'],mucho persona sufrir encontrar deseosa,['facilidad realizar'],['razón seguir vivir'],,['emocion'],['obtener premio'],,['valor correspondiente alguien miente'],['poder ser impuesto persona voluntario'],,,advertencia,['proceso mental'],['buscar minimizar peligro amenaza'],['gente discusión querer poseer él'],['respaldo'],,,['superar cumplir espectativa']
['pacto'],['oportunidad'],['corrupción'],['impaciencia'],['emocion congoja persona'],['angustiar'],,['decir objeto cosa'],agoviar,['manejo elevebado'],['sentimiento anhelo'],,['celebracion'],['obtener objeto cosa utiidad'],,['ligado veracidad'],['voluntad'],,,indicar situación necesitar cuidado,['persona mirar hacia arriba responder'],['buscar asegurar resultado esperado'],['usado frecuencia matematica'],['producir tranquilidad'],,,['imagn soial positivo']
['trato'],['necesario'],['acto'],['deber regular'],['empatiar sufrimiento ajeno'],['sentimiento decir indebido alguien'],,['palabra clave identificar'],poder llevar locura,['poder trabajar'],"['cosa mal', 'tender sentir él']",,['risa'],['aumento recurso'],,['capacidad expresar interno complicado'],['responsabilidad'],,,frente situación desconocido,['hacer tener idea cuestionarno cosa'],['organizar según destresa habilidad'],['poder encontrar mundo ley'],['guardia'],,,['satisfacción haber lograr meta']
['compromiso'],"['agradecer', 'aprender']",['ultimatum'],['poder usar favor padecer'],['ser empático'],['sentimiento presente obrar malo manera'],,,crisis,['capacidad'],['relacionar bueno pronto suceder'],,['problema'],['obtención'],,['asocia persona directa'],['acción realizar manato jefeo superior'],,,forma proteger,['relacionado mente'],['lograr traves penamientir'],['alguien correcto'],['producir alguien cuidar'],,,['lograr realidad coincidir deseo']
['union'],['habilidad'],['peligro'],['generalmente jugar'],['tener pena'],['ligado arrepentimiento'],,,sociedad entera pasado,['dominio'],"['situación crítica', 'unico quedar tener']",,['musico'],['mejor'],,['claridad'],['deber'],,,señalar exposicion poder provocar daño,['personal'],['ordenar tarea'],['motivo'],['dar padre hijo'],,,['lograr meta pensado']
['amistad'],['deber ser enseñado'],['alguien advertir'],['mal silencioso'],['sensible dolor ajeno'],['emocional previo búsqueda perdón'],,,malestar mental,['desplante'],['entrega tranquilidad cierto ocación'],,['idealizado equilibrio'],['victoria comparación'],,['carácterístico personalidad dar persona verdadero acto palabra'],['tarea hacer evitar malo'],,,sentimiento llevar inseguridad,['hacer mayor parte día'],['idea caso salir bien'],['propósito'],['firmeza'],,,['fruto trabajo perseverancia']
['proyeccion'],['gratitud'],['persona intimido'],['incapacidad esperar suceso'],['hermandad'],['sentimiento haber cometer acción saber incorrecto indebido'],,,inestabilidad,['llamar atención'],['ultimo perder'],,['tender asociar él positivismo'],['resultado positivo'],,['carácterístico dar persona cuyo palabra cohesión hecho'],['responsabilidad'],,,poder ser físico psicológico,['modo reflexionar'],['opción'],['alguien inteligencia'],['confianza'],,,['lograr cumplir objetivo']
['estabilidad'],['felicidad'],['alguien hablar demasiado usualmente tratar intimidar'],['nerviosismo'],['empatir vertical'],['sentimiento remordimiento acto palabra dicho'],,,desequilibrio,['habilidad'],['gente aferrra momento crisis'],,['escudar frente pensamiento dañino'],['tener favor cambio vendido'],,['característico dar persona mentir actuan manera correcto respecto pensar'],['acción deber hacer'],,,padre defender mientras niño todo vida,['conectar mismo'],['sugerencia'],['capacidad cada persona'],['consistir sentir él protegido'],,,['culminacion lllevado cabo perfectamente']
['colaborar'],['tranquilidad'],['sient bajo peligro'],['anhelo adelantar tiempo'],['sentir pena poralgo alguien'],['peso moral producto hecho incorrecto'],,,inequidad,['conciencia hacer'],['gente recurrir momento desesperacion'],,['energía desbordante'],['quedar numero positivo inversion'],,['decir verdad'],['imposicion'],,,sentimiento amenazar,['identificar quién'],['utilizar organizar'],['raciocinio'],['puedeser lugar confortable seguro'],,,"['llegar cima algun lugar', 'competenciau']"
['negociación'],['gracias'],['incomodo'],['impaciente'],['fuerza llevar caridad'],['psicológico'],,,impacientar,['aprender'],['dios brindar'],,['optimismo descontrolado'],['resultado gestion transaccional beneficioso'],,['ser transparente'],['carácter extricto'],,,lugar alto dar sensación,['hacer tener opinión propio ideal'],['poder tener fin positivo negativo'],['correcto'],['estabilidad'],,,['reflejar trinfo']
['conllevar beneficio mutuo'],['satisfecho'],['acecha'],['nervio'],['sentimiento'],['después hacer correcto'],,,irritación,['agilidad'],['persona religiosa soler poseer él mayor frecuencia'],,['aceptación misterio'],['resultado positivo'],,['mentir'],['norma'],,,animal araña perro rabioso hacer sentir él,['inconsciente'],['facilitar actuar'],['argumento'],['supuesto función brindar'],,,['ganar']
['permitir progresar'],['dar alguien'],['presente'],['poder comer'],['conmueve'],['después haber cometer alguno error'],,,enojo,['forma realizar actividad'],['alumno final semestre'],,['confianza'],['q obtener tras venta'],,['bueno'],['deber'],,,poder dañar,['procesamiento información'],['procedimiento llaga lograr'],['explicacion tener razon'],['riesgo'],,,['lograr meta']
['involucra discusión previo'],['virtud poder realizar él'],['malo'],['trastorno psicológico'],['emociòn'],['responsable ocurrido'],,,angustiar,['arte'],['expectativa'],,['ligereza'],['obtencion recurso'],,['gente admirado forma'],['acto impuesto alguien'],,,riesgo,['capacidad análisis'],['ameritar análisis obtener él'],['si'],['segurito personaje'],,,['alguien vaya bien vida']
['punto equilibrio'],['situación dar gracias'],['cambiar actitud persona'],['exponer evento traumático'],['sentir làstima'],['falta'],,,ansiedad,['maniobra'],['augurio'],,['motivación'],['obstener personal'],,['creer confianza'],,,,siniestro,['reflexión'],['involucra conjunto acción'],['explicacion hacer'],['cinturon de …'],,,['salir bien']
['difícil lograr'],['sentir él lleno'],['poder evitar'],['angustiar'],['pena alguno situaciòn'],['situación después delito'],,,adrenalinar,['otorgar facilidad'],['bienestar'],,['emoción'],['lograr'],,['traer beneficio'],,,,posibilidad cierto daño,['mental'],['buscar objetivo'],['motivo hacer'],['confort'],,,['ganador']
['poder ser 2 mucho parte'],['venir luego recibimiento regalo espiritual material'],['cada persona diferente'],['trastor yo desarrolar'],['apiadar él alguien'],['arrepentimiento'],,,apurado tocar largo fila,['dotar'],['futuro'],,['sensacion satisfecho'],['financiamiento'],,['político generalmente'],,,,eventualidad pérdida,['poder compartir él'],['soler involucrar mucho persona'],['racional'],['sentimiento lograr mediante realización cierto actividad'],,,['forma atraer felicidad']
['forma resolver conflicto'],['accion persona tras recibir'],['poder escapar'],['fármaco poder controlar él'],['sentimiento'],['poder causar enfermedad mental'],,,poder controlar,['cualidad'],['felicidad'],,['hacer gustar provocar'],,,['ladrón tampoco'],,,,detrimento,['personal'],['completacion llevar satisfaccion'],['característico'],['existir guardián calle recinto privado'],,,['cumbre']
['trato'],['sentimiento recibir presente favor'],['disgusta sentir él'],['sensación duradero'],['tolerancia'],['ocultar respecto'],,,miedo,['buen habilidad'],['auge'],,['contrario tristeza'],,,['virtud'],,,,menoscabo,['depender cada persona'],['servir tener idea accion realizar'],['pensamiento'],['deber tener poder actuar'],,,['plenitud']
['deber respetar'],['ameritar retribucion'],['peligro'],['desesperante'],['actitud'],['dar él contar error querer contar él'],,,emocion,['buen desempeño'],['mejora'],,['sentimiento'],,,['honroso'],,,,problema,['meditación'],['mapa idea'],['hacer uso cada vez pensar'],['sentimiento confort bienestar'],,,['meta personal']
['entendimiento'],['apreciar tras ser recibido'],['atacante'],['ir allá control persona'],['empatir'],['sentimiento'],,,encerrado pieza puerta ventana,['habilida'],['venir tiempo buen'],,['salir bien provocar'],,,['cualidad persona generar confianza'],,,,protegen seguro,['proceso interior'],['planificacion acción'],['ser humano'],['mutual tratar brindar él'],,,['perserverancia']
['comunicación'],['realizar corazón'],['victima'],['generalmente suceso provocar'],,['sujeto negligente'],,,pensar tranquilamente,['capacidad relizar bien'],['luz'],,['emocional pleno'],,,['transparencia'],,,,verificar existir catástrofe natural,['poder verbalizar'],['frencuencia usado tener vision proyecto futuro'],"['argumentar', 'poder usar varios']",['gente estudiar poder tener cargo tratar dar él'],,,['optimismo']
['requerir aceptación parte'],['accion previo traer felicidad realizar'],['fin'],['gana sucesa mucho gana'],,['responsable negativo'],,,aparecer ver alternativa resolver problema,['adquirar inata'],['felicidad'],,"['vario persona persona', 'poder responder distinto objeto']",,,['verdad'],,,,encuentra apuro,['abstracto'],['compañia telefonica soler ofrecer él'],['argumento'],['policia dar sentimiento'],,,['lograr objetivo']
['almacenar memoria'],['dar regalo hacer'],['poder agredir'],['impaciencia'],,['sentimento negativo responsabilidad'],,,enfrenta desconocido,['determinar futuro persona'],['paz'],,['sensación plenitud'],,,['transparencia actuar'],,,,expuesto consecuencia negativa,['carácter subjetivo'],['complot'],['aspecto permitir tener pensamiento lógico'],['proteccion'],,,
['útil frente ambiguo'],['hacer favor decir'],['incitar violencia'],['gana hacer'],,['pensamiento rumiante minimizar autoestima'],,,saber hacer salvar arreglar situación,['avez envidiado'],['blancura'],,['emocional alegre'],,,['decir verdad'],,,,alto probabilidad riesgo,['mente'],['reunion'],"['aspecto permitir persona', 'saber bien mal']",['contrario amenazar'],,,
['poder modificar futuro'],['cada acto persona'],['perjudicar'],['nervio'],,['tener responsabilidad sucedido'],,,mayoría observar mujer hombre,['avez desperdiciada'],['solución problema'],,['buen sentimiento dar resultado hecho positivo'],,,['ser transparente'],,,,alerta,['siempre tratar acertado'],['hacer hacer dieta'],['logica'],['despreocupar problema'],,,
['código confianza'],['decir persona'],"['aviso acción poder gatillar reacción persona', 'generalmente negativo']",['producir sudoración mano'],,['ser responsable hecho'],,,poder actuar irracional inconciente bajo efecto concepto,['habilidad'],['permitir luchar final'],,['similar alegría dar tras obtener hecho beneficioso'],,,['mente tranquilar'],,,,encuentra seguro,['capacidad persona razonar'],['militar hacer guerra'],['pensar'],['sentir él protegido'],,,
['trato dos parte'],['feliz recib'],['advertencia acerca'],['descontrol'],,['ser participe acto'],,,emoción,['ser bueno'],['posibilidad hacer'],,['ánimo positivo beneficioso organismo'],,,['sinceridad'],,,,alerta máximo,['día … … …… ……'],['estrategia'],['utilizar cada segundo'],['libre riego'],,,
